0.0495     0.1495  1.0   3.0	
0	0.0000
0.0005	0.0034
0.001	0.0068
0.0015	0.0101
0.002	0.0136
0.0025	0.0172
0.003	0.0209
0.0035	0.0248
0.004	0.0289
0.0045	0.0332
0.005	0.0379
0.0055	0.0428
0.006	0.0481
0.0065	0.0538
0.007	0.0599
0.0075	0.0665
0.008	0.0737
0.0085	0.0815
0.009	0.0899
0.0095	0.0991
0.01	0.1091
0.0105	0.1200
0.011	0.1319
0.0115	0.1449
0.012	0.1591
0.0125	0.1745
0.013	0.1914
0.0135	0.2099
0.014	0.2301
0.0145	0.2521
0.015	0.2762
0.0155	0.3026
0.016	0.3314
0.0165	0.3628
0.017	0.3975
0.0175	0.4351
0.018	0.4761
0.0185	0.5209
0.019	0.5699
0.0195	0.6233
0.02	0.6815
0.0205	0.7449
0.021	0.8141
0.0215	0.8894
0.022	0.9713
0.0225	1.0604
0.023	1.1571
0.0235	1.2620
0.024	1.3758
0.0245	1.4989
0.025	1.6319
0.0255	1.7754
0.026	1.9300
0.0265	2.0960
0.027	2.2742
0.0275	2.4648
0.028	2.6681
0.0285	2.8844
0.029	3.1138
0.0295	3.3562
0.03	3.6115
0.0305	3.8792
0.031	4.1588
0.0315	4.4497
0.032	4.7507
0.0325	5.0606
0.033	5.3783
0.0335	5.7010
0.034	6.0275
0.0345	6.3567
0.035	6.6870
0.0355	7.0162
0.036	7.3427
0.0365	7.6647
0.037	7.9802
0.0375	8.2879
0.038	8.5862
0.0385	8.8741
0.039	9.1501
0.0395	9.4138
0.04	9.6641
0.0405	9.9008
0.041	10.1234
0.0415	10.3314
0.042	10.5253
0.0425	10.7047
0.043	10.8698
0.0435	11.0209
0.044	11.1581
0.0445	11.2818
0.045	11.3920
0.0455	11.4895
0.046	11.5742
0.0465	11.6463
0.047	11.7063
0.0475	11.7543
0.048	11.7905
0.0485	11.8149
0.049	11.8277
0.0495	11.8343
0.05	11.7976
0.0505	11.7543
0.051	11.6990
0.0515	11.6313
0.052	11.5508
0.0525	11.4571
0.053	11.3498
0.0535	11.2283
0.054	11.0920
0.0545	10.9407
0.055	10.7734
0.0555	10.5898
0.056	10.3891
0.0565	10.1711
0.057	9.9350
0.0575	9.6803
0.058	9.4072
0.0585	9.1148
0.059	8.8033
0.0595	8.4728
0.06	8.1235
0.0605	7.7559
0.061	7.3704
0.0615	6.9683
0.062	6.5504
0.0625	6.1182
0.063	5.6732
0.0635	5.2173
0.064	4.7524
0.0645	4.2807
0.065	3.8044
0.0655	3.3257
0.066	2.8480
0.0665	2.3715
0.067	1.9002
0.0675	1.4334
0.068	0.9754
0.0685	0.5282
0.069	0.0932
0.0695	-0.3280
0.07	-0.7342
0.0705	-1.1243
0.071	-1.4975
0.0715	-1.8532
0.072	-2.1913
0.0725	-2.5112
0.073	-2.8130
0.0735	-3.0970
0.074	-3.3634
0.0745	-3.6127
0.075	-3.8452
0.0755	-4.0618
0.076	-4.2627
0.0765	-4.4488
0.077	-4.6210
0.0775	-4.7797
0.078	-4.9257
0.0785	-5.0598
0.079	-5.1826
0.0795	-5.2947
0.08	-5.3968
0.0805	-5.4897
0.081	-5.5736
0.0815	-5.6492
0.082	-5.7171
0.0825	-5.7780
0.083	-5.8343
0.0835	-5.8683
0.084	-5.8991
0.0845	-5.9237
0.085	-5.9426
0.0855	-5.9562
0.086	-5.9646
0.0865	-5.9679
0.087	-5.9662
0.0875	-5.9598
0.088	-5.9490
0.0885	-5.9338
0.089	-5.9143
0.0895	-5.8908
0.09	-5.8635
0.0905	-5.8325
0.091	-5.7983
0.0915	-5.7613
0.092	-5.7214
0.0925	-5.6794
0.093	-5.6358
0.0935	-5.5910
0.094	-5.5457
0.0945	-5.5006
0.095	-5.4563
0.0955	-5.4137
0.096	-5.3736
0.0965	-5.3366
0.097	-5.3037
0.0975	-5.2755
0.098	-5.2527
0.0985	-5.2361
0.099	-5.2259
0.0995	-5.2195
0.1	-5.2195
0.1005	-5.2225
0.101	-5.2327
0.1015	-5.2494
0.102	-5.2720
0.1025	-5.3001
0.103	-5.3329
0.1035	-5.3697
0.104	-5.4096
0.1045	-5.4520
0.105	-5.4959
0.1055	-5.5408
0.106	-5.5857
0.1065	-5.6301
0.107	-5.6733
0.1075	-5.7148
0.108	-5.7541
0.1085	-5.7905
0.109	-5.8241
0.1095	-5.8543
0.11	-5.8808
0.1105	-5.9034
0.111	-5.9219
0.1115	-5.9360
0.112	-5.9456
0.1125	-5.9508
0.113	-5.9510
0.1135	-5.9461
0.114	-5.9360
0.1145	-5.9206
0.115	-5.8996
0.1155	-5.8727
0.116	-5.8395
0.1165	-5.8029
0.117	-5.7433
0.1175	-5.6795
0.118	-5.6082
0.1185	-5.5288
0.119	-5.4407
0.1195	-5.3434
0.12	-5.2365
0.1205	-5.1192
0.121	-4.9906
0.1215	-4.8504
0.122	-4.6978
0.1225	-4.5319
0.123	-4.3521
0.1235	-4.1578
0.124	-3.9480
0.1245	-3.7221
0.125	-3.4797
0.1255	-3.2199
0.126	-2.9424
0.1265	-2.6470
0.127	-2.3330
0.1275	-2.0007
0.128	-1.6499
0.1285	-1.2812
0.129	-0.8949
0.1295	-0.4918
0.13	-0.0728
0.1305	0.3609
0.131	0.8077
0.1315	1.2663
0.132	1.7344
0.1325	2.2101
0.133	2.6892
0.1335	3.1707
0.134	3.6539
0.1345	4.1353
0.135	4.6126
0.1355	5.0834
0.136	5.5456
0.1365	5.9970
0.137	6.4357
0.1375	6.8601
0.138	7.2688
0.1385	7.6606
0.139	8.0344
0.1395	8.3898
0.14	8.7260
0.1405	9.0430
0.141	9.3407
0.1415	9.6188
0.142	9.8781
0.1425	10.1186
0.143	10.3408
0.1435	10.5452
0.144	10.7325
0.1445	10.9030
0.145	11.0574
0.1455	11.1966
0.146	11.3207
0.1465	11.4304
0.147	11.5263
0.1475	11.6089
0.148	11.6785
0.1485	11.7355
0.149	11.7803
0.1495	11.8186
0.15	11.8133
0.1505	11.8017
0.151	11.7784
0.1515	11.7433
0.152	11.6962
0.1525	11.6371
0.153	11.5657
0.1535	11.4818
0.154	11.3849
0.1545	11.2753
0.155	11.1522
0.1555	11.0154
0.156	10.8648
0.1565	10.7001
0.157	10.5211
0.1575	10.3275
0.158	10.1198
0.1585	9.8975
0.159	9.6611
0.1595	9.4109
0.16	9.1475
0.1605	8.8716
0.161	8.5839
0.1615	8.2857
0.162	7.9782
0.1625	7.6627
0.163	7.3409
0.1635	7.0144
0.164	6.6852
0.1645	6.3551
0.165	6.0258
0.1655	5.6993
0.166	5.3783
0.1665	5.0606
0.167	4.7507
0.1675	4.4497
0.168	4.1588
0.1685	3.8792
0.169	3.6115
0.1695	3.3562
0.17	3.1138
0.1705	2.8844
0.171	2.6681
0.1715	2.4648
0.172	2.2742
0.1725	2.0960
0.173	1.9300
0.1735	1.7754
0.174	1.6319
0.1745	1.4989
0.175	1.3758
0.1755	1.2620
0.176	1.1571
0.1765	1.0604
0.177	0.9713
0.1775	0.8894
0.178	0.8141
0.1785	0.7449
0.179	0.6815
0.1795	0.6233
0.18	0.5699
0.1805	0.5209
0.181	0.4761
0.1815	0.4351
0.182	0.3975
0.1825	0.3628
0.183	0.3314
0.1835	0.3026
0.184	0.2762
0.1845	0.2521
0.185	0.2301
0.1855	0.2099
0.186	0.1914
0.1865	0.1745
0.187	0.1591
0.1875	0.1449
0.188	0.1319
0.1885	0.1200
0.189	0.1091
0.1895	0.0991
0.19	0.0899
0.1905	0.0815
0.191	0.0737
0.1915	0.0665
0.192	0.0599
0.1925	0.0538
0.193	0.0481
0.1935	0.0428
0.194	0.0379
0.1945	0.0332
0.195	0.0289
0.1955	0.0248
0.196	0.0209
0.1965	0.0172
0.197	0.0136
0.1975	0.0101
0.198	0.0068
0.1985	0.0034
0.199	0.0000
