z	Bz
-1.53	0
-1.5	0.002247872
-1.47	0.002399848
-1.44	0.002566098
-1.41	0.002748368
-1.38	0.002948668
-1.35	0.003169328
-1.32	0.00341305
-1.29	0.00368299
-1.26	0.003982842
-1.23	0.004316955
-1.2	0.004690475
-1.17	0.00510952
-1.14	0.005581406
-1.11	0.006114935
-1.08	0.006720763
-1.05	0.007411881
-1.02	0.008204241
-0.99	0.00911759
-0.96	0.010176575
-0.93	0.01141225
-0.9	0.012864125
-0.87	0.014583008
-0.84	0.016635004
-0.81	0.019107203
-0.78	0.022115908
-0.75	0.025818729
-0.72	0.030432642
-0.69	0.036261391
-0.66	0.043737664
-0.63	0.053488793
-0.6	0.066439505
-0.57	0.083970959
-0.54	0.108156459
-0.51	0.142069067
-0.48	0.190035874
-0.45	0.257341121
-0.42	0.348170156
-0.39	0.460664776
-0.36	0.582342002
-0.33	0.694693232
-0.3	0.785231224
-0.27	0.852088989
-0.24	0.89943802
-0.21	0.932542744
-0.18	0.955703155
-0.15	0.971956008
-0.12	0.98332636
-0.09	0.991131266
-0.06	0.996209859
-0.03	0.999074206
0	1
0.03	0.999074206
0.06	0.996209859
0.09	0.991131266
0.12	0.98332636
0.15	0.971956008
0.18	0.955703155
0.21	0.932542744
0.24	0.89943802
0.27	0.852088989
0.3	0.785231224
0.33	0.694693232
0.36	0.582342002
0.39	0.460664776
0.42	0.348170156
0.45	0.257341121
0.48	0.190035874
0.51	0.142069067
0.54	0.108156459
0.57	0.083970959
0.6	0.066439505
0.63	0.053488793
0.66	0.043737664
0.69	0.036261391
0.72	0.030432642
0.75	0.025818729
0.78	0.022115908
0.81	0.019107203
0.84	0.016635004
0.87	0.014583008
0.9	0.012864125
0.93	0.01141225
0.96	0.010176575
0.99	0.00911759
1.02	0.008204241
1.05	0.007411881
1.08	0.006720763
1.11	0.006114935
1.14	0.005581406
1.17	0.00510952
1.2	0.004690475
1.23	0.004316955
1.26	0.003982842
1.29	0.00368299
1.32	0.00341305
1.35	0.003169328
1.38	0.002948668
1.41	0.002748368
1.44	0.002566098
1.47	0.002399848
1.5	0.002247872
1.53	0
