x,y,z1,z2
-5.0,-5.0,[20 20],[20 20]
-5.0,-4.0,[20 20],[20 20]
-5.0,-3.0,[20 20],[20 20]
-5.0,-2.0,[20 20],[20 20]
-5.0,-1.0,[20 20],[20 20]
-5.0,0.0,[20 20],[20 20]
-5.0,1.0,[20 20],[20 20]
-5.0,2.0,[20 20],[20 20]
-5.0,3.0,[20 20],[20 20]
-5.0,4.0,[20 20],[20 20]
-5.0,5.0,[-7.29308691 -6.51598773],[-5.56081062 -2.98402374]
-4.0,-5.0,[-5.95313968 -5.36155198],[20 20]
-4.0,-4.0,[20 20],[20 20]
-4.0,-3.0,[20 20],[20 20]
-4.0,-2.0,[20 20],[20 20]
-4.0,-1.0,[20 20],[20 20]
-4.0,0.0,[20 20],[20 20]
-4.0,1.0,[20 20],[20 20]
-4.0,2.0,[20 20],[20 20]
-4.0,3.0,[20 20],[-10.6942524  20.       ]
-4.0,4.0,[-6.58260656 -6.32711139],[-4.44141512 -2.29259728]
-4.0,5.0,[-0.98980631  6.52142899],[0.50644161 8.98806365]
-3.0,-5.0,[-0.05593142  7.14372478],[ -8.39512627 -11.58504621]
-3.0,-4.0,[20 20],[20 20]
-3.0,-3.0,[20 20],[20 20]
-3.0,-2.0,[20 20],[20 20]
-3.0,-1.0,[20 20],[20 20]
-3.0,0.0,[20 20],[20 20]
-3.0,1.0,[20 20],[20 20]
-3.0,2.0,[20 20],[-8.20538569 20.        ]
-3.0,3.0,[-5.2942132  -5.17298871],[-3.76229456 -1.17674678]
-3.0,4.0,[0.18149173 7.83844482],[1.66517092 9.78061405]
-3.0,5.0,[ 5.4073048  14.93409789],[6.78765644 3.7649604 ]
-2.0,-5.0,[ 6.19886936 20.        ],[-2.49842449  0.96839985]
-2.0,-4.0,[20 20],[20 20]
-2.0,-3.0,[20 20],[20 20]
-2.0,-2.0,[20 20],[20 20]
-2.0,-1.0,[20 20],[20 20]
-2.0,0.0,[20 20],[20 20]
-2.0,1.0,[-9.33496769 20.        ],[ -7.95754288 -11.13055483]
-2.0,2.0,[-4.13671846 -3.43066565],[-2.82284957  0.31592359]
-2.0,3.0,[1.22534535 8.73482423],[ 2.93101867 10.65578126]
-2.0,4.0,[ 6.65407684 20.        ],[ 7.772442 20.      ]
-2.0,5.0,[11.13580582 20.        ],[13.00189026 20.        ]
-1.0,-5.0,[ 4.84512074 20.        ],[ 4.99344498 12.68216496]
-1.0,-4.0,[ -7.39572997 -11.14777693],[20 20]
-1.0,-3.0,[20 20],[20 20]
-1.0,-2.0,[20 20],[20 20]
-1.0,-1.0,[20 20],[20 20]
-1.0,0.0,[ -8.2409843  -13.27270014],[-6.52402416 -8.90056757]
-1.0,1.0,[-2.82186216 -1.05195429],[-1.47518512  2.61379795]
-1.0,2.0,[2.71772727 9.90387441],[ 4.25940985 11.58156489]
-1.0,3.0,[ 7.47976527 20.        ],[ 8.94459432 20.        ]
-1.0,4.0,[14.26471002 20.        ],[20 20]
-1.0,5.0,[20 20],[20 20]
0.0,-5.0,[20 20],[ 9.62819756 20.        ]
0.0,-4.0,[-0.50486422  3.37771112],[ 20.         -13.62544358]
0.0,-3.0,[20 20],[20 20]
0.0,-2.0,[20 20],[-8.88709862 20.        ]
0.0,-1.0,[-6.44789096 -9.96672415],[-4.89612132 -6.99188664]
0.0,0.0,[-1.34593642  1.68636791],[0.08422907 5.02847327]
0.0,1.0,[ 4.13883415 11.10821148],[ 5.67520045 13.11992469]
0.0,2.0,[ 8.37201598 20.        ],[ 9.2815396 20.       ]
0.0,3.0,[20 20],[20 20]
0.0,4.0,[20 20],[20 20]
0.0,5.0,[20 20],[20 20]
1.0,-5.0,[20 20],[20 20]
1.0,-4.0,[ 6.33019611 13.55885805],[-3.39771768 -4.32571932]
1.0,-3.0,[-8.77801591 20.        ],[-8.14640152 20.        ]
1.0,-2.0,[-4.9668235  -7.81562856],[-3.55745164 -5.00141368]
1.0,-1.0,[0.37743914 4.51081242],[1.74685788 7.20508004]
1.0,0.0,[ 5.35765041 11.91540108],[ 6.82080981 15.00974837]
1.0,1.0,[ 9.23356664 20.        ],[10.09410745 20.        ]
1.0,2.0,[20 20],[20 20]
1.0,3.0,[20 20],[20 20]
1.0,4.0,[20 20],[20 20]
1.0,5.0,[20 20],[20 20]
2.0,-5.0,[20 20],[20 20]
2.0,-4.0,[20 20],[3.51525546 8.71562597]
2.0,-3.0,[-2.70508487 -4.02234548],[-1.61464611 -1.31387772]
2.0,-2.0,[2.04643483 6.7532649 ],[3.78060253 9.38389805]
2.0,-1.0,[ 6.71144746 14.24927673],[ 8.10167236 20.        ]
2.0,0.0,[12.48474381 20.        ],[14.02942333 20.        ]
2.0,1.0,[20 20],[20 20]
2.0,2.0,[20 20],[20 20]
2.0,3.0,[20 20],[20 20]
2.0,4.0,[20 20],[20 20]
2.0,5.0,[20 20],[20 20]
3.0,-5.0,[20 20],[20 20]
3.0,-4.0,[20 20],[ 9.27137764 14.93348484]
3.0,-3.0,[ 4.63359309 10.00829435],[ 5.82195197 11.29552099]
3.0,-2.0,[ 8.11483758 20.        ],[ 9.23353336 20.        ]
3.0,-1.0,[20 20],[20 20]
3.0,0.0,[20 20],[20 20]
3.0,1.0,[20 20],[20 20]
3.0,2.0,[20 20],[20 20]
3.0,3.0,[20 20],[20 20]
3.0,4.0,[20 20],[20 20]
3.0,5.0,[20 20],[20 20]
4.0,-5.0,[20 20],[20 20]
4.0,-4.0,[20 20],[20 20]
4.0,-3.0,[ 9.83954598 20.        ],[10.32427483 20.        ]
4.0,-2.0,[20 20],[20 20]
4.0,-1.0,[20 20],[20 20]
4.0,0.0,[20 20],[20 20]
4.0,1.0,[20 20],[20 20]
4.0,2.0,[20 20],[20 20]
4.0,3.0,[20 20],[20 20]
4.0,4.0,[20 20],[20 20]
4.0,5.0,[20 20],[20 20]
5.0,-5.0,[20 20],[20 20]
5.0,-4.0,[20 20],[20 20]
5.0,-3.0,[20 20],[20 20]
5.0,-2.0,[20 20],[20 20]
5.0,-1.0,[20 20],[20 20]
5.0,0.0,[20 20],[20 20]
5.0,1.0,[20 20],[20 20]
5.0,2.0,[20 20],[20 20]
5.0,3.0,[20 20],[20 20]
5.0,4.0,[20 20],[20 20]
5.0,5.0,[20 20],[20 20]
