x,y,z1,z2
-5.0,-5.0,[20 20],[20 20]
-5.0,-4.5,[20 20],[20 20]
-5.0,-4.0,[20 20],[20 20]
-5.0,-3.5,[20 20],[20 20]
-5.0,-3.0,[20 20],[20 20]
-5.0,-2.5,[20 20],[20 20]
-5.0,-2.0,[20 20],[20 20]
-5.0,-1.5,[20 20],[20 20]
-5.0,-1.0,[20 20],[20 20]
-5.0,-0.5,[20 20],[20 20]
-5.0,0.0,[20 20],[20 20]
-5.0,0.5,[20 20],[20 20]
-5.0,1.0,[20 20],[20 20]
-5.0,1.5,[20 20],[20 20]
-5.0,2.0,[20 20],[20 20]
-5.0,2.5,[20 20],[20 20]
-5.0,3.0,[20 20],[20 20]
-5.0,3.5,[20 20],[20 20]
-5.0,4.0,[20 20],[20 20]
-5.0,4.5,[-9.84498073  5.04711417],[-7.81394883  7.96049203]
-5.0,5.0,[-7.4589064   8.82380489],[-5.92172008 10.57249579]
-4.5,-5.0,[-9.58077573  4.63709396],[20 20]
-4.5,-4.5,[20 20],[20 20]
-4.5,-4.0,[20 20],[20 20]
-4.5,-3.5,[20 20],[20 20]
-4.5,-3.0,[20 20],[20 20]
-4.5,-2.5,[20 20],[20 20]
-4.5,-2.0,[20 20],[20 20]
-4.5,-1.5,[20 20],[20 20]
-4.5,-1.0,[20 20],[20 20]
-4.5,-0.5,[20 20],[20 20]
-4.5,0.0,[20 20],[20 20]
-4.5,0.5,[20 20],[20 20]
-4.5,1.0,[20 20],[20 20]
-4.5,1.5,[20 20],[20 20]
-4.5,2.0,[20 20],[20 20]
-4.5,2.5,[20 20],[20 20]
-4.5,3.0,[20 20],[20 20]
-4.5,3.5,[20 20],[20 20]
-4.5,4.0,[-9.04643169  4.53849291],[-7.78402985  7.60669441]
-4.5,4.5,[-7.38753164  8.73828153],[-5.63085366 10.30854248]
-4.5,5.0,[-4.37135282 11.36970996],[-2.7320646 12.9993931]
-4.0,-5.0,[-6.15289464  8.92215536],[20 20]
-4.0,-4.5,[20 20],[20 20]
-4.0,-4.0,[20 20],[20 20]
-4.0,-3.5,[20 20],[20 20]
-4.0,-3.0,[20 20],[20 20]
-4.0,-2.5,[20 20],[20 20]
-4.0,-2.0,[20 20],[20 20]
-4.0,-1.5,[20 20],[20 20]
-4.0,-1.0,[20 20],[20 20]
-4.0,-0.5,[20 20],[20 20]
-4.0,0.0,[20 20],[20 20]
-4.0,0.5,[20 20],[20 20]
-4.0,1.0,[20 20],[20 20]
