x,y,z1,z2
-5.0,-5.0,[20],[20]
-5.0,-4.0,[20],[20]
-5.0,-3.0,[20],[20]
-5.0,-2.0,[20],[20]
-5.0,-1.0,[20],[20]
-5.0,0.0,[20],[20]
-5.0,1.0,[20],[20]
-5.0,2.0,[20],[20]
-5.0,3.0,[20],[20]
-5.0,4.0,[20],[20]
-5.0,5.0,[-7.45834485],[-5.7120032]
-4.0,-5.0,[-6.95211779],[20]
-4.0,-4.0,[20],[20]
-4.0,-3.0,[20],[20]
-4.0,-2.0,[20],[20]
-4.0,-1.0,[20],[20]
-4.0,0.0,[20],[20]
-4.0,1.0,[20],[20]
-4.0,2.0,[20],[20]
-4.0,3.0,[20],[20]
-4.0,4.0,[-6.58403586],[-4.70064933]
-4.0,5.0,[-1.07075081],[0.36553954]
-3.0,-5.0,[0.27458837],[-8.17671781]
-3.0,-4.0,[20],[20]
-3.0,-3.0,[20],[20]
-3.0,-2.0,[20],[20]
-3.0,-1.0,[20],[20]
-3.0,0.0,[20],[20]
-3.0,1.0,[20],[20]
-3.0,2.0,[-10.90390698],[-8.48677148]
-3.0,3.0,[-5.4995016],[-3.83509234]
-3.0,4.0,[-0.21603795],[1.57657214]
-3.0,5.0,[5.29922412],[6.70029806]
-2.0,-5.0,[6.57799768],[-1.67403802]
-2.0,-4.0,[20],[20]
-2.0,-3.0,[20],[20]
-2.0,-2.0,[20],[20]
-2.0,-1.0,[20],[20]
-2.0,0.0,[20],[20]
-2.0,1.0,[-8.65692251],[-7.83556802]
-2.0,2.0,[-4.25439857],[-2.70596275]
-2.0,3.0,[1.33319081],[3.00542661]
-2.0,4.0,[6.48494961],[7.97380822]
-2.0,5.0,[11.49457136],[14.02090352]
-1.0,-5.0,[14.03467845],[4.4785004]
-1.0,-4.0,[-7.53916351],[20]
-1.0,-3.0,[20],[20]
-1.0,-2.0,[20],[20]
-1.0,-1.0,[20],[20]
-1.0,0.0,[-8.09254761],[-6.57276906]
-1.0,1.0,[-2.81512186],[-1.36577147]
-1.0,2.0,[2.54016994],[4.39804867]
-1.0,3.0,[7.22956573],[8.86055757]
-1.0,4.0,[20],[20]
-1.0,5.0,[20],[20]
0.0,-5.0,[20],[10.88780951]
0.0,-4.0,[-0.01914836],[20]
0.0,-3.0,[20],[20]
0.0,-2.0,[20],[-8.91344262]
0.0,-1.0,[-6.7448499],[-4.88547912]
0.0,0.0,[-1.43781165],[0.14706054]
0.0,1.0,[4.25522694],[5.59839844]
0.0,2.0,[8.31380715],[9.38323068]
0.0,3.0,[20],[20]
0.0,4.0,[20],[20]
0.0,5.0,[20],[20]
1.0,-5.0,[20],[20]
1.0,-4.0,[6.16736901],[-3.23795944]
1.0,-3.0,[-8.61146996],[-8.04281478]
1.0,-2.0,[-4.74900383],[-3.51752413]
1.0,-1.0,[0.3341126],[1.9427016]
1.0,0.0,[5.39354456],[6.78974826]
1.0,1.0,[9.46378668],[10.38019402]
1.0,2.0,[20],[20]
1.0,3.0,[20],[20]
1.0,4.0,[20],[20]
1.0,5.0,[20],[20]
2.0,-5.0,[20],[20]
2.0,-4.0,[20],[3.64840943]
2.0,-3.0,[-2.64457034],[-1.47869558]
2.0,-2.0,[2.0668958],[3.79046795]
2.0,-1.0,[6.74823338],[8.19603045]
2.0,0.0,[11.63625353],[14.85013106]
2.0,1.0,[20],[20]
2.0,2.0,[20],[20]
2.0,3.0,[20],[20]
2.0,4.0,[20],[20]
2.0,5.0,[20],[20]
3.0,-5.0,[20],[20]
3.0,-4.0,[20],[9.11154775]
3.0,-3.0,[4.68398438],[5.78347227]
3.0,-2.0,[8.02864989],[9.15713925]
3.0,-1.0,[14.61610591],[20]
3.0,0.0,[20],[20]
3.0,1.0,[20],[20]
3.0,2.0,[20],[20]
3.0,3.0,[20],[20]
3.0,4.0,[20],[20]
3.0,5.0,[20],[20]
4.0,-5.0,[20],[20]
4.0,-4.0,[20],[20]
4.0,-3.0,[10.23197906],[10.4893122]
4.0,-2.0,[20],[20]
4.0,-1.0,[20],[20]
4.0,0.0,[20],[20]
4.0,1.0,[20],[20]
4.0,2.0,[20],[20]
4.0,3.0,[20],[20]
4.0,4.0,[20],[20]
4.0,5.0,[20],[20]
5.0,-5.0,[20],[20]
5.0,-4.0,[20],[20]
5.0,-3.0,[20],[20]
5.0,-2.0,[20],[20]
5.0,-1.0,[20],[20]
5.0,0.0,[20],[20]
5.0,1.0,[20],[20]
5.0,2.0,[20],[20]
5.0,3.0,[20],[20]
5.0,4.0,[20],[20]
5.0,5.0,[20],[20]
