x,y,z1,z2
-5.0,-5.0,[20],[20]
-5.0,-4.0,[20],[20]
-5.0,-3.0,[20],[20]
-5.0,-2.0,[20],[20]
-5.0,-1.0,[20],[20]
-5.0,0.0,[20],[20]
-5.0,1.0,[20],[20]
-5.0,2.0,[20],[20]
-5.0,3.0,[20],[20]
-5.0,4.0,[-7.08281996],[-7.25080856]
-5.0,5.0,[-2.37361319],[-6.26295306]
-4.0,5.0,[0.60868838],[-4.01808217]
-4.0,4.0,[-1.93383802],[-5.88385908]
-4.0,3.0,[-3.0944885],[-5.860634]
-4.0,2.0,[20],[-2.54027739]
-4.0,1.0,[20],[20]
-4.0,0.0,[20],[20]
-4.0,-1.0,[20],[20]
-4.0,-2.0,[20],[20]
-4.0,-3.0,[20],[20]
-4.0,-4.0,[20],[20]
-4.0,-5.0,[20],[20]
-3.0,-5.0,[20],[20]
-3.0,-4.0,[20],[20]
-3.0,-3.0,[20],[20]
-3.0,-2.0,[20],[20]
-3.0,-1.0,[20],[20]
-3.0,0.0,[20],[20]
-3.0,1.0,[20],[10.03595529]
-3.0,2.0,[-4.79701893],[-6.556146]
-3.0,3.0,[-1.55306367],[-6.11421704]
-3.0,4.0,[0.92405068],[-3.57252557]
-3.0,5.0,[20],[-0.56835459]
-2.0,5.0,[20],[20]
-2.0,4.0,[20],[-1.39239952]
-2.0,3.0,[3.03201211],[-2.78701669]
-2.0,2.0,[0.10743491],[-5.32767308]
-2.0,1.0,[-3.06908997],[-7.39539955]
-2.0,0.0,[-7.75019842],[-9.6697332]
-2.0,-1.0,[20],[20]
-2.0,-2.0,[20],[20]
-2.0,-3.0,[20],[20]
-2.0,-4.0,[20],[20]
-2.0,-5.0,[20],[20]
-1.0,-5.0,[20],[20]
-1.0,-4.0,[20],[20]
-1.0,-3.0,[20],[20]
-1.0,-2.0,[20],[20]
-1.0,-1.0,[-7.88301699],[-9.69749863]
-1.0,0.0,[-3.17973878],[-7.04707087]
-1.0,1.0,[0.33598069],[-5.49375444]
-1.0,2.0,[2.59050221],[-3.03000302]
-1.0,3.0,[20],[-0.03493708]
-1.0,4.0,[20],[20]
-1.0,5.0,[20],[20]
0.0,5.0,[20],[20]
0.0,4.0,[20],[20]
0.0,3.0,[20],[20]
0.0,2.0,[20],[-1.26810858]
0.0,1.0,[20],[-1.71834713]
0.0,0.0,[2.08021208],[-4.52216033]
0.0,-1.0,[-1.54187834],[-6.91480724]
0.0,-2.0,[-3.93971726],[-9.92275038]
0.0,-3.0,[20],[20]
0.0,-4.0,[20],[20]
0.0,-5.0,[20],[20]
1.0,-5.0,[20],[20]
1.0,-4.0,[-3.51401611],[20]
1.0,-3.0,[-4.39322553],[-10.13777312]
1.0,-2.0,[-1.32812118],[-7.10951123]
1.0,-1.0,[2.39690821],[-4.64819278]
1.0,0.0,[20],[-2.14267706]
1.0,1.0,[20],[-0.50320944]
1.0,2.0,[20],[20]
1.0,3.0,[20],[20]
1.0,4.0,[20],[20]
1.0,5.0,[20],[20]
2.0,5.0,[20],[20]
2.0,4.0,[20],[20]
2.0,3.0,[20],[20]
2.0,2.0,[20],[20]
2.0,1.0,[20],[20]
2.0,0.0,[20],[20]
2.0,-1.0,[20],[-0.61540239]
2.0,-2.0,[20],[-3.63929213]
2.0,-3.0,[1.01298762],[-6.29061718]
2.0,-4.0,[-2.93340434],[-6.39404396]
2.0,-5.0,[-7.47596482],[10.3154005]
3.0,-5.0,[-2.10410235],[-5.86501191]
3.0,-4.0,[1.1588755],[-6.09183574]
3.0,-3.0,[20],[-3.86627675]
3.0,-2.0,[20],[-0.78025974]
3.0,-1.0,[20],[20]
3.0,0.0,[20],[20]
3.0,1.0,[20],[20]
3.0,2.0,[20],[20]
3.0,3.0,[20],[20]
3.0,4.0,[20],[20]
3.0,5.0,[20],[20]
4.0,5.0,[20],[20]
4.0,4.0,[20],[20]
4.0,3.0,[20],[20]
4.0,2.0,[20],[20]
4.0,1.0,[20],[20]
4.0,0.0,[20],[20]
4.0,-1.0,[20],[20]
4.0,-2.0,[20],[20]
4.0,-3.0,[20],[0.79548156]
4.0,-4.0,[20],[-2.94275139]
4.0,-5.0,[2.32736541],[-5.40068248]
5.0,-5.0,[20],[-2.28556453]
5.0,-4.0,[20],[-1.83655475]
5.0,-3.0,[20],[20]
5.0,-2.0,[20],[20]
5.0,-1.0,[20],[20]
5.0,0.0,[20],[20]
5.0,1.0,[20],[20]
5.0,2.0,[20],[20]
5.0,3.0,[20],[20]
5.0,4.0,[20],[20]
5.0,5.0,[20],[20]
