x,y,z1,z2
-5.0,-5.0,[20 20],[20 20]
-5.0,-4.0,[20 20],[20 20]
-5.0,-3.0,[20 20],[20 20]
-5.0,-2.0,[20 20],[20 20]
-5.0,-1.0,[20 20],[20 20]
-5.0,0.0,[20 20],[20 20]
-5.0,1.0,[20 20],[20 20]
-5.0,2.0,[20 20],[20 20]
-5.0,3.0,[20 20],[20 20]
-5.0,4.0,[20 20],[20 20]
-5.0,5.0,[-5.50274857 14.42663902],[-2.74511391 14.8361369 ]
-4.0,5.0,[ 0.72819142 15.00745862],[ 1.65247837 20.        ]
-4.0,4.0,[-3.95356107 12.69773343],[-1.72115285 14.40067787]
-4.0,3.0,[20 20],[-5.22816311 14.96458845]
-4.0,2.0,[20 20],[20 20]
-4.0,1.0,[20 20],[20 20]
-4.0,0.0,[20 20],[20 20]
-4.0,-1.0,[20 20],[20 20]
-4.0,-2.0,[20 20],[20 20]
-4.0,-3.0,[20 20],[20 20]
-4.0,-4.0,[20 20],[20 20]
-4.0,-5.0,[20 20],[20 20]
-3.0,-5.0,[20 20],[20 20]
-3.0,-4.0,[20 20],[20 20]
-3.0,-3.0,[20 20],[20 20]
-3.0,-2.0,[20 20],[20 20]
-3.0,-1.0,[20 20],[20 20]
-3.0,0.0,[20 20],[20 20]
-3.0,1.0,[20 20],[20 20]
-3.0,2.0,[20 20],[-5.32816589 13.44249517]
-3.0,3.0,[-3.76264346 11.58885703],[-1.48606151 12.77517494]
-3.0,4.0,[ 1.70143983 15.0079211 ],[ 2.28035728 20.        ]
-3.0,5.0,[ 6.64956351 20.        ],[ 6.04352752 20.        ]
-2.0,5.0,[10.66586447 20.        ],[ 9.41949291 20.        ]
-2.0,4.0,[ 8.03797544 20.        ],[ 6.93943852 20.        ]
-2.0,3.0,[ 3.74230583 20.        ],[ 3.65754593 20.        ]
-2.0,2.0,[-1.30581204 12.51489965],[-0.13698528 12.82069351]
-2.0,1.0,[-6.25782282  7.45860016],[-3.82951983 10.17152162]
-2.0,0.0,[20 20],[20 20]
-2.0,-1.0,[20 20],[20 20]
-2.0,-2.0,[20 20],[20 20]
-2.0,-3.0,[20 20],[20 20]
-2.0,-4.0,[20 20],[20 20]
-2.0,-5.0,[20 20],[20 20]
-1.0,-5.0,[20 20],[20 20]
-1.0,-4.0,[20 20],[20 20]
-1.0,-3.0,[20 20],[20 20]
-1.0,-2.0,[20 20],[20 20]
-1.0,-1.0,[20 20],[20 20]
-1.0,0.0,[-6.3878518   5.80835179],[-3.98793233  8.92749397]
-1.0,1.0,[-1.37134765 11.95053094],[-0.14088055 12.06339659]
-1.0,2.0,[ 3.9212842 15.0273306],[ 3.70477542 20.        ]
-1.0,3.0,[ 8.47949383 20.        ],[ 7.29413334 20.        ]
-1.0,4.0,[14.81544212 20.        ],[10.05751398 20.        ]
-1.0,5.0,[20 20],[20 20]
0.0,5.0,[20 20],[20 20]
0.0,4.0,[20 20],[20 20]
0.0,3.0,[20 20],[10.86985307 20.        ]
0.0,2.0,[ 9.59283917 20.        ],[ 8.14896174 20.        ]
0.0,1.0,[ 6.32546077 20.        ],[ 5.4698079 20.       ]
0.0,0.0,[ 1.27277356 14.63008933],[ 1.68978095 12.75035706]
0.0,-1.0,[-4.24711778  8.43585871],[-2.05126341  9.63182671]
0.0,-2.0,[20 20],[-5.73241152  5.15460491]
0.0,-3.0,[20 20],[20 20]
0.0,-4.0,[20 20],[20 20]
0.0,-5.0,[20 20],[20 20]
1.0,-5.0,[20 20],[20 20]
1.0,-4.0,[20 20],[20 20]
1.0,-3.0,[-7.69685519 20.        ],[-5.73844237  3.7334551 ]
1.0,-2.0,[-3.68717019  7.35326434],[-2.03957884  8.38393945]
1.0,-1.0,[ 1.24263276 12.72822314],[ 1.56831255 12.17124788]
1.0,0.0,[ 6.36335343 20.        ],[ 5.33566501 14.99542038]
1.0,1.0,[ 9.58360239 20.        ],[ 8.29167815 20.        ]
1.0,2.0,[20 20],[11.88192683 20.        ]
1.0,3.0,[20 20],[20 20]
1.0,4.0,[20 20],[20 20]
1.0,5.0,[20 20],[20 20]
2.0,5.0,[20 20],[20 20]
2.0,4.0,[20 20],[20 20]
2.0,3.0,[20 20],[20 20]
2.0,2.0,[20 20],[20 20]
2.0,1.0,[20 20],[20 20]
2.0,0.0,[14.94474803 20.        ],[ 9.75775784 20.        ]
2.0,-1.0,[ 8.39169924 20.        ],[ 7.05116707 20.        ]
2.0,-2.0,[ 4.07939139 20.        ],[ 3.52076293 13.68375747]
2.0,-3.0,[-1.29469317 10.03762113],[-0.47149369  9.43512846]
2.0,-4.0,[-6.74145204  0.32902561],[-4.2773285   4.21647484]
2.0,-5.0,[20 20],[20 20]
3.0,-5.0,[-5.21367445  1.50104166],[-3.21384768  3.86308984]
3.0,-4.0,[-0.69581444 10.08424334],[0.07073157 8.99220357]
3.0,-3.0,[ 4.52223687 20.        ],[ 3.65115188 12.40588695]
3.0,-2.0,[ 8.64031581 20.        ],[ 7.07538144 20.        ]
3.0,-1.0,[14.91686757 20.        ],[ 9.77071503 20.        ]
3.0,0.0,[20 20],[20 20]
3.0,1.0,[20 20],[20 20]
3.0,2.0,[20 20],[20 20]
3.0,3.0,[20 20],[20 20]
3.0,4.0,[20 20],[20 20]
3.0,5.0,[20 20],[20 20]
4.0,5.0,[20 20],[20 20]
4.0,4.0,[20 20],[20 20]
4.0,3.0,[20 20],[20 20]
4.0,2.0,[20 20],[20 20]
4.0,1.0,[20 20],[20 20]
4.0,0.0,[20 20],[20 20]
4.0,-1.0,[20 20],[20 20]
4.0,-2.0,[20 20],[13.83750049 20.        ]
4.0,-3.0,[ 9.64603823 20.        ],[ 8.32007421 20.        ]
4.0,-4.0,[ 6.55412685 20.        ],[ 5.234229   13.10142683]
4.0,-5.0,[ 1.47741826 11.50083431],[1.45785914 9.69757106]
5.0,-5.0,[ 7.57495296 20.        ],[ 6.10396519 13.58243944]
5.0,-4.0,[10.40980126 20.        ],[ 8.78809741 14.98661312]
5.0,-3.0,[20 20],[14.74772904 20.        ]
5.0,-2.0,[20 20],[20 20]
5.0,-1.0,[20 20],[20 20]
5.0,0.0,[20 20],[20 20]
5.0,1.0,[20 20],[20 20]
5.0,2.0,[20 20],[20 20]
5.0,3.0,[20 20],[20 20]
5.0,4.0,[20 20],[20 20]
5.0,5.0,[20 20],[20 20]
