x,y,z1,z2
-5.0,-5.0,[0.49932907 0.46261947],[0.64021974 0.51157857]
-5.0,-4.5,[0.48685851 0.4908442 ],[0.59739636 0.66104066]
-5.0,-4.0,[0.46252835 0.67187714],[0.61157685 0.40490482]
-5.0,-3.5,[0.68174807 0.43150118],[0.44582645 0.43443028]
-5.0,-3.0,[0.41558777 0.40118038],[0.42421746 0.54419814]
-5.0,-2.5,[0.54872619 0.42516235],[0.35549229 0.62564693]
-5.0,-2.0,[0.48058406 0.43957609],[0.46759242 0.59903114]
-5.0,-1.5,[0.45019359 0.55458888],[0.5724118  0.58748046]
-5.0,-1.0,[0.6135284  0.53271894],[0.43436309 0.41303272]
-5.0,-0.5,[0.52088212 0.45561857],[0.49327873 0.53983206]
-5.0,0.0,[0.55818478 0.43090277],[0.6696109  0.30425531]
-5.0,0.5,[0.47019063 0.4182788 ],[0.31929018 0.52714353]
-5.0,1.0,[0.61495535 0.61185498],[0.56952886 0.53539718]
-5.0,1.5,[0.61825105 0.3785716 ],[0.31023887 0.53546982]
-5.0,2.0,[0.58061683 0.42994768],[0.41321939 0.4987949 ]
-5.0,2.5,[0.44766118 0.51342669],[0.63569358 0.440337  ]
-5.0,3.0,[0.49725309 0.28887857],[0.60678665 0.63620934]
-5.0,3.5,[0.56751062 0.50336934],[0.40002281 0.61721306]
-5.0,4.0,[0.54120969 0.54566492],[0.39201529 0.57770172]
-5.0,4.5,[0.57989653 0.53703561],[0.43160811 0.69509032]
-5.0,5.0,[0.52956213 0.58149915],[0.50350013 0.3831523 ]
-4.5,-5.0,[0.30257046 0.51473706],[0.45194532 0.54177456]
-4.5,-4.5,[0.56500035 0.40348581],[0.48688548 0.33411552]
-4.5,-4.0,[0.46376635 0.63773152],[0.67844474 0.38821531]
-4.5,-3.5,[0.43935508 0.57203558],[0.42399074 0.46849643]
-4.5,-3.0,[0.49691932 0.58525525],[0.45561788 0.55986644]
-4.5,-2.5,[0.50278505 0.47712046],[0.42823694 0.59278709]
-4.5,-2.0,[0.48244764 0.45978841],[0.44162724 0.53455941]
-4.5,-1.5,[0.38959885 0.38075286],[0.46357158 0.47627405]
