x,y,z1,z2
-5.0,-5.0,[20 20],[20 20]
-5.0,-4.9,[20 20],[20 20]
-5.0,-4.800000000000001,[20 20],[20 20]
-5.0,-4.700000000000001,[20 20],[20 20]
-5.0,-4.600000000000001,[20 20],[20 20]
-5.0,-4.500000000000002,[20 20],[20 20]
-5.0,-4.400000000000002,[20 20],[20 20]
-5.0,-4.3000000000000025,[20 20],[20 20]
-5.0,-4.200000000000003,[20 20],[20 20]
-5.0,-4.100000000000003,[20 20],[20 20]
-5.0,-4.0000000000000036,[20 20],[20 20]
-5.0,-3.900000000000004,[20 20],[20 20]
-5.0,-3.8000000000000043,[20 20],[20 20]
-5.0,-3.7000000000000046,[20 20],[20 20]
-5.0,-3.600000000000005,[20 20],[20 20]
-5.0,-3.5000000000000053,[20 20],[20 20]
-5.0,-3.4000000000000057,[20 20],[20 20]
-5.0,-3.300000000000006,[20 20],[20 20]
-5.0,-3.2000000000000064,[20 20],[20 20]
-5.0,-3.1000000000000068,[20 20],[20 20]
-5.0,-3.000000000000007,[20 20],[20 20]
-5.0,-2.9000000000000075,[20 20],[20 20]
-5.0,-2.800000000000008,[20 20],[20 20]
-5.0,-2.700000000000008,[20 20],[20 20]
-5.0,-2.6000000000000085,[20 20],[20 20]
-5.0,-2.500000000000009,[20 20],[20 20]
-5.0,-2.4000000000000092,[20 20],[20 20]
-5.0,-2.3000000000000096,[20 20],[20 20]
-5.0,-2.20000000000001,[20 20],[20 20]
-5.0,-2.1000000000000103,[20 20],[20 20]
-5.0,-2.0000000000000107,[20 20],[20 20]
-5.0,-1.900000000000011,[20 20],[20 20]
-5.0,-1.8000000000000114,[20 20],[20 20]
-5.0,-1.7000000000000117,[20 20],[20 20]
-5.0,-1.600000000000012,[20 20],[20 20]
-5.0,-1.5000000000000124,[20 20],[20 20]
-5.0,-1.4000000000000128,[20 20],[20 20]
-5.0,-1.3000000000000131,[20 20],[20 20]
-5.0,-1.2000000000000135,[20 20],[20 20]
-5.0,-1.1000000000000139,[20 20],[20 20]
-5.0,-1.0000000000000142,[20 20],[20 20]
-5.0,-0.9000000000000146,[20 20],[20 20]
-5.0,-0.8000000000000149,[20 20],[20 20]
-5.0,-0.7000000000000153,[20 20],[20 20]
-5.0,-0.6000000000000156,[20 20],[20 20]
-5.0,-0.500000000000016,[20 20],[20 20]
-5.0,-0.40000000000001634,[20 20],[20 20]
-5.0,-0.3000000000000167,[20 20],[20 20]
-5.0,-0.20000000000001705,[20 20],[20 20]
-5.0,-0.10000000000001741,[20 20],[20 20]
-5.0,-1.7763568394002505e-14,[20 20],[20 20]
-5.0,0.09999999999998188,[20 20],[20 20]
-5.0,0.19999999999998153,[20 20],[20 20]
-5.0,0.29999999999998117,[20 20],[20 20]
-5.0,0.3999999999999808,[20 20],[20 20]
-5.0,0.49999999999998046,[20 20],[20 20]
-5.0,0.5999999999999801,[20 20],[20 20]
-5.0,0.6999999999999797,[20 20],[20 20]
-5.0,0.7999999999999794,[20 20],[20 20]
-5.0,0.899999999999979,[20 20],[20 20]
-5.0,0.9999999999999787,[20 20],[20 20]
-5.0,1.0999999999999783,[20 20],[20 20]
-5.0,1.199999999999978,[20 20],[20 20]
-5.0,1.2999999999999776,[20 20],[20 20]
-5.0,1.3999999999999773,[20 20],[20 20]
-5.0,1.499999999999977,[20 20],[20 20]
-5.0,1.5999999999999766,[20 20],[20 20]
