x,y,z1,z2
-5.0,-5.0,[20 20],[20 20]
-5.0,-4.9,[20 20],[20 20]
-5.0,-4.800000000000001,[20 20],[20 20]
-5.0,-4.700000000000001,[20 20],[20 20]
-5.0,-4.600000000000001,[20 20],[20 20]
-5.0,-4.500000000000002,[20 20],[20 20]
-5.0,-4.400000000000002,[20 20],[20 20]
-5.0,-4.3000000000000025,[20 20],[20 20]
-5.0,-4.200000000000003,[20 20],[20 20]
-5.0,-4.100000000000003,[20 20],[20 20]
-5.0,-4.0000000000000036,[20 20],[20 20]
-5.0,-3.900000000000004,[20 20],[20 20]
-5.0,-3.8000000000000043,[20 20],[20 20]
-5.0,-3.7000000000000046,[20 20],[20 20]
-5.0,-3.600000000000005,[20 20],[20 20]
