Time	Type	Breakdown count	breakdown rate/min	normal_rf_increase
1499251167.37	Reflected power spike	1	16.8728909158	100
1499251218.93	Reflected power spike	2	2.17722621629	100
1499251271.34	Reflected power spike	1	2.62605041447	80
1499251355.96	Reflected power spike	2	1.11658028723	80
1499251826.26	Reflected power spike	3	0.311544812242	80
1499252167.17	Reflected power spike	4	0.261245531579	80
1499252452.46	Reflected power spike	5	0.249175850852	80
1499252721.19	Reflected power spike	6	0.244449303259	80
1499253172.16	Reflected power spike	7	0.218332666197	80
1499253651.99	Reflected power spike	8	0.199708841146	80
1499253893.5	Reflected power spike	9	0.204157941108	80
1499253898.16	Reflected power spike	10	0.226443207477	80
1499254156.94	Reflected power spike	11	0.226925384513	80
1499255253.33	Reflected power spike	1	0.99664462741	100
1499255507.88	Reflected power spike	2	0.381246485421	100
1499256097.59	Reflected power spike	3	0.199013776167	100
1499256158.59	Reflected power spike	4	0.248584363834	100
1499256469.08	Reflected power spike	1	0.330214639429	80
1499256607.89	Reflected power spike	2	0.3744021267	80
1499257716.88	Reflected power spike	1	11.0314398234	80
1499257730.4	Reflected power spike	2	6.33245388959	80
1499258379.06	Reflected power spike	1	14.556040831	80
1499258675.48	Reflected power spike	2	0.399270665455	80
1499258932.47	Reflected power spike	1	0.272402865574	80
1499259072.83	Reflected power spike	1	10.2564104236	80
1499259348.45	Reflected power spike	2	0.426330150244	80
1499260061.65	Reflected power spike	3	0.180964541033	80
1499260096.06	Reflected power spike	4	0.233217793385	80
1499260241.19	Reflected power spike	1	1.28317542974	60
1499260709.77	Reflected power spike	2	0.232856430433	60
1499260964.91	Reflected power spike	3	0.233619993684	60
1499261744.92	Reflected power spike	4	0.154789376809	60
1499261803.58	Reflected power spike	5	0.186434063243	60
1499263363.56	Reflected power spike	1	0.0762958855998	60
1499263427.38	Reflected power spike	2	0.141136952216	60
1499264498.04	Reflected power spike	1	0.181277097207	60
1499265068.49	Reflected power spike	1	0.18492321071	60
1499265605.6	Reflected power spike	1	0.129669450982	60
1499265920.38	Reflected power spike	2	0.15434182854	60
1499266228.58	Reflected power spike	3	0.165792724082	60
1499266638.71	Reflected power spike	4	0.160446254509	60
1499268660.28	Reflected power spike	1	0.0789272212087	60
1499269249.45	Reflected power spike	2	0.0889304556454	60
1499269856.15	Reflected power spike	1	0.34983790816	40.0
